id,name,lon,lat,z,population,dem_height,difference
O01,凤丹村无人机调度中心,109.2308517,23.0085095,127.7,0,128.7255401611328,-1.0255401611328097
S001,平旺、那龙、镇龙乡,109.2432319,23.0335927,154.0,2100,153.96136474609375,0.03863525390625
S002,上良,109.2585519,23.0703271,189.5,330,188.7942352294922,0.7057647705078125
S003,六造、那旭、都长,109.1688578,23.0402714,308.5,275,308.51068115234375,-0.01068115234375
S004,大站,109.2381714,23.0778414,198.3,188,195.11575317382812,3.1842468261718864
S005,上良、古律、那麓,109.2283003,23.0561338,165.0,126,169.03955078125,-4.03955078125
S006,六昌、木路,109.1997836,23.007714,284.8,121,275.1272277832031,9.672772216796886
S007,佛子、那桑、银坑,109.1928191,23.0294186,318.5,76,314.2220458984375,4.2779541015625
S008,古麻、大站,109.2127472,23.0795113,240.9,55,248.2891845703125,-7.389184570312494
S009,那龙,109.2541424,23.0552989,200.0,45,189.4370880126953,10.562911987304688
S010,镇龙乡,109.2760168,23.0194009,321.6,31,321.5816650390625,0.018334960937522737
S011,那从,109.2203356,23.0319231,182.1,30,178.04286193847656,4.057138061523432
S012,镇龙乡,109.2831357,23.054464,249.8,16,253.31507873535156,-3.515078735351551
S013,镇龙乡,109.2713839,23.0310882,321.7,14,321.70806884765625,-0.008068847656261369
S014,镇龙乡,109.2835966,23.0052097,321.0,12,320.9825134277344,0.017486572265625
S015,六造、那托、那旭,109.1923786,23.0494548,444.5,3,436.229248046875,8.270751953125
