sortie,area,model,boxes,n,mass_kg,volume_m3,flight_s,roundtrip_s,work_s,energy_kwh,soc_pct
Q1-001,S001,C,S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02,8,78.0,0.23500000000000001,618.1690773291593,1086.1690773291593,1626.1690773291593,2.995769262722773,62.55288421596534
Q1-002,S001,C,S001-MED-01;S001-MED-02;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08,7,76.0,0.159,618.1690773291593,1050.1690773291593,1560.1690773291593,2.917582307581756,63.53022115522805
Q1-003,S002,C,S002-WAT-01;S002-WAT-02;S002-WAT-03;S002-FOD-01;S002-HYG-01,5,56.0,0.14400000000000002,1231.8123848152609,1591.8123848152609,2041.8123848152609,5.721224670857717,28.484691614278535
Q1-004,S002,B,S002-MED-01;S002-WAT-04;S002-FOD-02,3,25.0,0.067,1186.694300098464,1426.694300098464,1816.694300098464,2.7134222874379024,32.16444281405244
Q1-005,S003,C,S003-WAT-01;S003-WAT-02;S003-WAT-03;S003-FOD-01;S003-HYG-01,5,56.0,0.14400000000000002,1560.0913496046687,1920.0913496046687,2370.0913496046687,5.764965115196235,27.937936060047065
Q1-006,S003,B,S003-MED-01;S003-WAT-04;S003-FOD-02,3,25.0,0.067,1450.5233035434708,1690.5233035434708,2080.523303543471,2.7799174679721714,30.502063300695713
Q1-007,S004,C,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,6,59.0,0.156,1425.0566924832005,1821.0566924832005,2301.0566924832005,6.152932018907209,23.08834976365989
Q1-008,S005,C,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,6,59.0,0.156,1001.190524525781,1397.190524525781,1877.190524525781,4.222192859507031,47.22258925616212
Q1-009,S006,C,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,6,59.0,0.156,685.5538679616645,1081.5538679616645,1561.5538679616645,2.597987864912184,67.5251516885977
Q1-010,S007,C,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,5,45.0,0.129,1097.5664573300337,1457.5664573300337,1907.5664573300337,3.410894380004036,57.36382024994955
Q1-011,S008,C,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,5,45.0,0.129,1389.7012130854614,1749.7012130854614,2199.7012130854614,5.836011711483811,27.049853606452366
Q1-012,S009,B,S009-MED-01;S009-WAT-01;S009-FOD-01,3,25.0,0.067,928.4417330887612,1168.4417330887613,1558.4417330887613,2.0962337344261712,47.59415663934572
Q1-013,S010,B,S010-MED-01;S010-WAT-01;S010-FOD-01,3,25.0,0.067,925.3795658311299,1165.3795658311299,1555.3795658311299,1.8231956980896877,54.42010754775781
Q1-014,S011,B,S011-MED-01;S011-WAT-01;S011-FOD-01,3,25.0,0.067,558.420472235157,798.420472235157,1188.420472235157,1.0739517654354556,73.1512058641136
Q1-015,S012,B,S012-MED-01;S012-WAT-01;S012-FOD-01,3,25.0,0.067,1292.7403507441854,1532.7403507441854,1922.7403507441854,2.752414298801739,31.18964252995653
Q1-016,S013,B,S013-MED-01;S013-WAT-01;S013-FOD-01,3,25.0,0.067,880.472325102089,1120.4723251020891,1510.4723251020891,1.8247592723279171,54.38101819180208
Q1-017,S014,B,S014-MED-01;S014-WAT-01;S014-FOD-01,3,25.0,0.067,1239.7564163815437,1479.7564163815437,1869.7564163815437,2.1403884821074026,46.49028794731493
Q1-018,S015,B,S015-MED-01;S015-WAT-01;S015-FOD-01,3,25.0,0.067,1198.2766374269763,1438.2766374269763,1828.2766374269763,2.30745282428409,42.313679392897754
